PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,Status,Master IC,,,
202410,1,120547179,10946010003,1730008019565,14,SMITHKLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE SOFT 1 NO SAVE 95/=,195,1 NO,BRUSH,,1730008019565-smithkline beecham -pvt- ltd-sensodyne#3.png,-,63964,,,
202410,1,133670987,19354010001,1729584139818,12,IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA/ PLPCH/ 100GM,290,100GM,PLPCH,,1729584139818-idea affix marketing -idea tea#3.png,-,-,,,
202410,1,133670987,19354010001,1729584017998,12,IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA /PLPCH /50GM ,155,50GM,PLPCH,,1729584017998-idea affix marketing -idea tea#3.png,-,-,,,
202410,1,53951366,10006010001,1729575545353,26,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,340,80 ML,PLBOT,,1729575545353-unilever sri lanka ltd-sunsilk#3.png,63972,63972,48497,49103,54093
202410,1,53951366,10006010001,1729572854804,10,FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,150,70 GM,PLPCH,,1729572854804-freelan enterprises-freelan#3.png,34284,,,,
202410,1,53951366,10006010001,1729575878551,26,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,340,80 ML,PLBOT,,1729575878551-unilever sri lanka ltd-sunsilk#3.png,-,,,,
202410,1,53951366,10006010001,1728630301758,9,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,1030,400 GM ,PLPCH,,1729575878551-unilever sri lanka ltd-sunsilk#3.png,-,,,,
202410,1,131556695,19271010003,1729330267120,14,SMITHKLINE BEECHAM PVT LTD,SENSODYNE ,SENSODYNE  SOFT ,195,1,1,,1729330267120-smithkline beecham pvt ltd-sensodyne #3.png,-,,,,
202410,1,58046786,19705010001,1729576806719,12,SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI/PURE CEYLON TEA/PLPCH,240,100 GM,PLPCH,,1729576806719-sugandhi distributors-sugandhi#3.png,-,,,,
202410,1,44964695,11105010033,1729578650639,30,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,225,30ML,GBT ,,1729578650639-swadeshi industrial works ltd-khomba#3.png,-,,,,
