PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202502,2,111680545,11301020003,1740124880938,2,CEYLON BEVRAGE INTERNATIONAL PVT LTD,SUN CRUSH,SUN CRUSH CARBONATED ORANGE FLAVOURED  250ML CAN,150,250ML,"CAN ",,1740124880938-ceylon bevrage international pvt ltd-sun crush#3.png
202502,2,111680515,11301020008,1740115587083,2,DAAN BEVERAGE,DAAN,DAAN /NELLI FLAVOURED DRINK/ 180ML PBT/,140,180ML,PBT,,1740115587083-daan beverage-daan#3.png
202502,2,111680515,11301020008,1740117636222,2,DAAN BEVERAGE,DAAN,DAAN /OREANG FLAVOURED NECTA / 180ML /PBT,140,180,PBT,,1740117636222-daan beverage-daan#3.png
202502,2,111680515,11301020008,1740117453606,2,DAAN BEVERAGE,DAAN,DAAN/ PASSION FRUITS NECTA /180ML/ PBT,140,180ML,PBT,,1740117453606-daan beverage-daan#3.png
202502,2,111680515,11301020008,1740115417818,2,DAAN BEVERAGE,DAAN,DAAN WOODAPPLE 180ML PBT,140,180ML,PBT,,1740115417818-daan beverage-daan#3.png
202502,1,45792949,11403010001,1740728898948,13,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFE BUOY/VENIVEL & OLIVE OIL/FOR HEALTHY SKIN/100G/EWRPK,150,100G,EWRPK,,1740728898948-unilever sri lanka ltd-lifebuoy#3.png
202502,1,131554171,13426010004,1740565404116,19,CAVINKARE PRIVATE LIMITED,NYLE,"NYLE/200/ML/PBT/TRIPLE EXOTIC OIL BODY LOTION ",750,200ML,PBT,,1740565404116-cavinkare private limited-nyle#3.png
202502,1,131554171,13426010004,1740565174394,19,CAVINKARE PRIVATE LIMITED,NYLE,"NYLE/100/ML/PBT/ TRIPLE EXOTIC OIL BODY LOTION ",400,100ML,PBT,,1740565174394-cavinkare private limited-nyle#3.png
202502,1,131554171,13426010004,1740565542816,19,CAVINKARE PRIVATE LIMITED,NYLE,"NYLE/100/ML/PBT/TRIPLE BUTTER BODY LOTION ",400,100ML,PBT,,1740565542816-cavinkare private limited-nyle#3.png
202502,1,44607118,10354010001,1740198698450,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/50/GM/PLPCH/2IN1 CLEAN & CITRUS FRESH,25,50GM,PLPCH,,1740565542816-cavinkare private limited-nyle#3.png
202502,1,43980579,11201010002,1740211386692,19,UNILEVER SRI LANKA LTD,"VASELINE PERFUMED MOISTURIZER ",VASELINE PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM - GEL CREAM /100ML/PLBOT,580,100ML,PLBOT,,1740211386692-unilever sri lanka ltd-vaseline perfumed moisturizer #3.png
202502,1,43980579,11201010002,1740211082049,19,UNILEVER SRI LANKA LTD,"VASELINE PERFUMED MOISTURIZER ",VASELINE PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM  - GEL CREAM/100ML/PLBOT,580,100ML,PLBOT,,1740211082049-unilever sri lanka ltd-vaseline perfumed moisturizer #3.png
202502,1,41410681,23201010008,1739879263521,19,UNILEVER SRI LANKA LTD,VASELINE,VASELINE\100\ML\PBT\PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM,0,100ML,PBT,,1740211082049-unilever sri lanka ltd-vaseline perfumed moisturizer #3.png
202502,1,41410681,23201010008,1739879338558,19,UNILEVER SRI LANKA LTD,VASELINE,VASELINE\100\ML\PBT\PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM,0,100ML,PBT,,1740211082049-unilever sri lanka ltd-vaseline perfumed moisturizer #3.png
202502,1,425489,10202010002,1740198698450,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/50/GM/PLPCH/2IN1 CLEAN & CITRUS FRESH,25,50GM,PLPCH,,1740198698450-unilever sri lanka ltd-sunlight detergent#3.png
202502,1,61212126,10404010002,1740643865284,9,MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/MALIBAN FULL CREAM MILK POWDER + SAVE 20,530,200GM,CDBOX,New SKU,1740643865284-maliban milk product -pvt- ltd-maliban#3.png
202502,1,8159068,17800010001,1740632550739,26,UNILEVER SRI LANKA LTD,DOVE,"DOVE/40/ML/PLBOT/NUTRITIVE SOLUTION/INTENSE REPAIR CONDITIONER ",150,40 ML,"PLBOT ",,1740632550739-unilever sri lanka ltd-dove#3.png
