ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
MALIBAN /GEM/ BISCUIT /90GM /PLPCH,MALIBAN  ,MALIBAN BISCUIT MANUFACTORIES,PLPCH,90GM,,MALIBAN GEM,MALIBAN BISCUIT MANUFACTORIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LANKA SOY/80/GM/PLPCH/SRI LANKAN MANGO CURRY TASTE,LANKA SOY,CONVENIENCE FOODS (LANKA) PLC,PLPCH ,80GM ,,LANKA SOY,CONVENIENCE FOODS (LANKA) PLC,PLPCH,80GM,| Target Itemdesc not found,LANKA SOY AUTHENTIC SRI LANKAN SPICE MIX SOYA MEAT 80 GM PLPCH,0.8999783793184946
PEARS/100/ML/PBT/GALAXY STAR BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL & TURMERIC BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY 100 ML PLBOT VENIVEL & TURMERIC BABY CREAM + SAVE RS 20,0.9345162465824037
MAYA/1/KG/PLCAN/TOMATO SAUCE ,MAYA,JANRICH FOODS LTD,PLCAN,1KG,,MAYA,JANRICH FOODS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
WONRICH/80/GM/PLCUP/STRAWBERRY FLAVOURED JELLY MIX,WONRICH,WONRICH DAIRY PVT LTD,PLCUP ,80GM ,,WONRICH,WONRICH DAIRY PVT LTD,PLCUP,80GM,| Target Itemdesc not found,WONRICH SET JELLY MIX DAIRY DESSERT PINEAPPLE FLAVOURED 80 GM PLCUP,0.9462776061235134
PEARS/50/ML/PBT/RATHMAL BABY CREAM FOR SOOTHING SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,50ML,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY BED TIME BABY CREAM WITH MOISTURE CREAM 50 ML PLBOT,0.9229858353095356
PEARS/100/ML/PBT/RATHMAL BABY CREAM FOR SOOTHING SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY PURE & GENTLE BABY CREAM WITH OLIVE OIL & MOISTURE CREAM 100 ML PLBOT + FREE PEARS RATHMAL & KOKUM BABY SOAP 70 GM CDBOX,0.9471242809418303
"VENDOL VENIVEL/85/GM/CDB/TURMERIC, VENIVEL, MARGOSA, SANDALWOOD WITH ALOE VERA/SAVE RS. 30/=",VENDOL VENIVAL,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDB,85GM ,VENDOL VENIVAL TURMERIC-VENIVAL-MARGOSA-SANDALWOOD WITH ALOEVERA 85 GM CDBOX,VENDOL VENIVAL,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDBOX,85.00 GM,,EMF,0.9620037392056743
LAKMEE/170/GM/PLPCH/MAYONNAISE,LAKMEE,LAKMEE EXPORTS,PLPCH ,170GM,,LAKMEE,LAKMEE EXPORTS,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PANDA BABY/50/ML/PBT/HAPPY SMILES COLOGNE ,PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PBT,50ML ,,PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PLBOT,50ML,| Target Itemdesc not found,PANDA BABY (GIFT PACK) FAIRYS TOUCH COLOGNE 50 ML PLBOT + NATU.S. PANDA BABY CREAM PURE OLIVE OIL 100 ML PLBOT + PANDA BABY RATHMAL BABY SOAP 75 GM CDBOX + P.BABY TALC 100 GM + P.BABY WASH 50 ML,0.9024865185304443
