ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
FEMS DRYTEX BODY FIT 3X PROTECTION/1 NO,FEMS,HEMAS MARKETING,PLPCH,1 NO,,FEMS,HEMAS MARKETING,SACHET,1NO,| Target Itemdesc not found,FEMS ULTRA DRY COMFORT ON DRYTEX WINGS 1 NO,0.9344896190150276
FEMS COTTON FEEL WINGS BODY FIT 3X PROTECTION/1 NO,FEMS,HEMAS MARKETING,PLPCH,1 NO,,FEMS,HEMAS MARKETING,SACHET,1NO,| Target Itemdesc not found,NEW FEMS COTTON FEEL WINGS FIT TO BODY 1 NO,0.9461756965449438
DELZIAS/2.5/GM/PLBOT/MINI BALLS-01 NO,DELZIAS,FRESHVILLE SWEET (PVT) LTD,PLBOT,2.5GM,,DELZIAS,FRESH COW (PVT) LTD,,,| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
PEARS/50/ML/PLBOT/RATHMAL BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY KOKUM BABY CREAM 50 ML PLBOT,0.9026510161849731
MUNCHEE  / 490 GM / PLPCH  / SUPER CREAM CRACKER  / SAVE 60,MUNCHEE. ,CEYLON BISCUITS LIMITED,PLPCH , 490 GM ,,,CEYLON BISCUITS LIMITED,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
MALIBAN  / 490 GM  / PLPCH  / CREAM CRACKER FAMILY PACK /SAVE 60/=,MALIBAN ,MALIBAN BISCUIT MANUFACTORIES,PLPCH ,490 GM  ,,MALIBAN GEM,MALIBAN BISCUIT MANUFACTORIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PEARS/50/ML/PLBOT/RATHMAL BABY CREAM FOR SOOTHING SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT ,50ML,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY BED TIME BABY CREAM WITH MOISTURE CREAM 50 ML PLBOT,0.9229858353095356
SHEHARA/CAKE/EMPORIUM/600 GM/CDBOX,SHEHARA,NETHMI CONFECTIONERY,CDBOX,600 GM,,SHEHARA,NETHMI CONFECTIONERY,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,LAKRASA FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.9331358443607063
CHANDANALEPA/75/GM/CDB/VENIVEL AYURVEDA SOAP ,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDB,75GM ,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.928781487014825
