ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
VASELINE PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM - GEL CREAM /100ML/PLBOT,VASELINE PERFUMED MOISTURIZER ,UNILEVER SRI LANKA LTD,PLBOT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) NEW ICE COOL HYDRATION VASELINE JELLY GEL CREAM 100 ML PLBOT,0.8977988552590622
VASELINE PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM  - GEL CREAM/100ML/PLBOT,VASELINE PERFUMED MOISTURIZER ,UNILEVER SRI LANKA LTD,PLBOT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) NEW ICE COOL HYDRATION VASELINE JELLY GEL CREAM 100 ML PLBOT,0.9023334513390454
VASELINE\100\ML\PBT\PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM,VASELINE,UNILEVER SRI LANKA LTD,PBT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE ALOE FRESH 24HR NOURISHING LOTION 100 ML,0.9176884734538333
VASELINE\100\ML\PBT\PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM,VASELINE,UNILEVER SRI LANKA LTD,PBT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE COCOA GLOW LOTION 24HR NOUR.LOT.100 ML,0.9210190812770855
SUNLIGHT/50/GM/PLPCH/2IN1 CLEAN & CITRUS FRESH,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,| Target Itemdesc not found,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,0.907225316895427
MALIBAN/200/GM/CDBOX/MALIBAN FULL CREAM MILK POWDER + SAVE 20,MALIBAN,MALIBAN MILK PRODUCT (PVT) LTD,CDBOX,200GM,,MALIBAN,MALIBAN MILK PRODUCT (PVT) LTD,CDBOX,200GM,| Target Itemdesc not found,MALIBAN KIRI FULL CREAM MILK POWDER 200 GM CDBOX + SAVE RS 30,0.9423863529092649
DOVE/40/ML/PLBOT/NUTRITIVE SOLUTION/INTENSE REPAIR CONDITIONER ,DOVE,UNILEVER SRI LANKA LTD,PLBOT ,40 ML,,DOVE,UNILEVER SRI LANKA LTD,PLBOT,40ML,| Target Itemdesc not found,DOVE NUTRITIVE SOLUTIONS INTENSE REPAIR SHAMPOO FOR DAMAGED HAIR 40 ML PLBOT,0.9184553070575935
TEEPOL/500/ML/PLPCH/DISHWASHING LIQUID/ORANGE WITH ALOE VERA REFILL PACK,TEEPOL,DARLEY BUTLER,PLPCH ,500 ML,,TEEPOL,DARLEY BUTLER,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH/2 IN 1 DOUBLE PERFUME LOCK DOUBLE CLEANING CRYSTALS DETERGENT POWDER ,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH ,50 GM,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50.00 GM,,EMF,0.970409987133811
VASELINE PERFUMED MOISTURIZER/KISS OF PETALS/ WITH SERUM/100ML/PBOTL,VASELINE,UNILEVER SRI LANKA LIMITED ,PBOTL,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE ALOE FRESH 24HR NOURISHING LOTION 100 ML,0.9071035768176252
