ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
HERB LINE KESHA WARDHANI SHAMPOO/100ML/PLBOT,HERB LINE,HERB LINE (PVT)LTD,PLBOT,100 ML,,,NEW DIAMOND LANKA (PVT)LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
CENTURY/15/G/SACHET/TOMATO SAUCE ,CENTURY,COLMANS LANKA (PVT) LTD,SACHET ,15G,,CENTURY,COLMANS LANKA (PVT) LTD,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
WAPP /20L/CANISTER/COLOER/,WAPP,LATEX LANKA INTERNATIONAL (PVT) LTD,CANISTER ,20L,,WAPP,PURE LANKA INTERNATIONAL (PVT) LTD,PL-CANISTER,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/PRAWNS TASTE SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/60/GM/PLPCH/PRAWN FLAVOUR SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,60GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,60GM,| Target Itemdesc not found,YOMA CHICKEN FLAVOUR 60 GM,0.892393398242267
RASORA/80/GM/PLC CUP/JELLY YOGHURT,RASORA,RASORA PRODUCTS,PLC CUP,80GM,,RASORA,RASORA PRODUCTS,PLCUP,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/CURRY SOYA TASTE SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/CHICKEN TASTE,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
RAIGAM /40/G/EWRPK/NO-1DAEAPORANU CHICKEN FLAVOR,RAIGAM ,RAIGAM MARKETING SERVICE,EWRPK,40G,,RAIGAM,RAIGAM MARKETING SERVICE,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LAKMEE/50/G/EWRPK/NO-1/ LAGOON PRAWNS KALAPU ISSO,LAKMEE ,LAKMEE EXPORTS,EWRPK,50G,,LAKMEE,LAKMEE EXPORTS,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
